,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
190,124,Pitt Bank C,Southern Banks,Chagos,71.44000244140625,-7.031097889,403115,31805
191,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.031097889,2284896,31806
192,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.011248589,147474,31807
193,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.011248589,598470,31808
194,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.011248589,456103,31809
195,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.011248589,547488,31810
196,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-7.011248589,856026,31811
197,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.011248589,915399,31812
198,124,Pitt Bank C,Southern Banks,Chagos,71.44000244140625,-7.011248589,1309759,31813
199,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.011248589,246520,31814
200,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-6.991397858,5928,31815
201,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-6.991397858,16507,31816
202,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-6.97154665,14683,31817
203,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-6.97154665,439231,31818
204,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-6.97154665,114094,31819
205,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-6.97154665,26631,31820
206,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-6.951694489,191069,31821
207,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.070794582,303065,32000
208,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-7.050946712,44415,32001
209,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-7.050946712,142275,32002
210,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-7.050946712,54903,32003
211,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-7.050946712,71958,32004
212,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.050946712,389434,32005
213,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-7.050946712,343286,32006
214,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-7.050946712,478995,32007
215,125,Pitt Bank N,Southern Banks,Chagos,71.09999847,-7.031097889,147292,32008
216,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-7.031097889,509639,32009
217,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-7.031097889,15686,32010
218,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-7.031097889,100505,32011
219,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-7.031097889,54447,32012
